,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(5, 0)","(5, 1)","(5, 2)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(6, 0)","(6, 1)","(6, 2)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(6, 8)","(6, 9)","(7, 0)","(7, 1)","(7, 2)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)","(7, 8)","(7, 9)","(8, 0)","(8, 1)","(8, 2)","(8, 3)","(8, 4)","(8, 5)","(8, 6)","(8, 7)","(8, 8)","(8, 9)","(9, 0)","(9, 1)","(9, 2)","(9, 3)","(9, 4)","(9, 5)","(9, 6)","(9, 7)","(9, 8)","(9, 9)"
47,2235,7311,10017,9330,9840,9009,8982,8430,8253,5919,5268,10659,13287,11484,10878,9720,9045,7548,7422,4044,4719,8004,11685,11100,10488,9981,9270,7536,7608,3711,3294,9663,12732,11577,10302,10467,9630,8355,9030,4059,5613,8799,12519,11574,10710,10551,9828,8460,8700,4626,5175,9990,13293,12138,10914,10770,10281,9024,9825,4035,4968,10755,12834,11763,10338,10968,10152,10041,8382,5559,4815,9138,11394,10326,9954,9801,9339,8565,8277,4212,4329,10047,12609,12219,10668,10764,10896,8736,8736,5676,4683,6891,9252,9036,7425,6762,6747,6717,6477,3846
48,3999,8154,8751,9573,9786,9978,10191,10440,9177,8205,6207,9384,10035,11097,11682,11799,12756,12447,10329,8718,3768,8319,9303,12117,12423,11586,13713,13569,11517,7731,5301,8511,11655,11856,12594,13176,13806,13098,10950,8427,4566,9930,10626,11835,12267,12405,12603,14313,9768,6810,3690,9288,9873,11895,12306,12597,13029,14196,10080,7632,5178,10119,9714,11889,13329,12204,13551,14694,12042,8028,6018,10134,10626,13260,13806,13950,14325,15939,12033,9966,6048,10446,10857,13830,14469,14997,16086,17469,16557,12780,3585,7020,7434,9051,8910,9657,10053,9804,7413,3708
49,11643,11172,11328,11148,10428,10164,10326,10740,12243,4173,13548,14559,14958,14424,14061,14025,14385,14616,17637,8445,15699,15792,15519,15744,15702,16035,16446,17157,18855,11988,14481,15792,15129,15186,15378,15981,16152,16182,17781,11862,14040,14655,14121,15150,14904,15351,15531,15858,17247,11997,13224,14970,14241,14805,14694,14313,14037,13872,15633,11874,12111,13977,13824,13824,13212,13383,13737,14241,14685,11142,11607,13464,13020,13497,13242,12822,12999,13326,13380,10248,10998,12612,11790,12660,11697,11952,12321,12222,11862,9579,8589,9963,8910,9939,8946,8991,8463,8817,8391,4152
50,4764,5574,5592,3909,4167,4419,5193,5265,7455,1731,6999,9255,9006,8355,7500,8451,9165,10026,12495,6948,8529,11754,11232,11943,10023,11154,12165,12771,14883,10314,9165,11418,11706,12078,10716,10425,11112,11538,13611,9906,7971,11520,10437,10833,9759,10740,11211,11949,13215,9753,7380,10392,9474,9819,9099,9723,10404,10674,10950,9552,7686,9315,8994,9609,8721,9486,8745,9789,10827,9348,7041,8865,8217,8643,8886,8691,9453,9234,8940,8352,6735,7866,6579,7689,7557,7230,7050,7911,7272,7533,4257,4665,4635,4911,3963,3636,4167,4512,3624,4044
51,1824,5025,5175,6459,6726,7146,6939,7479,5640,5409,2613,6105,8952,8748,9399,10068,11181,11793,8814,5940,2100,7188,8811,7965,7677,9714,10320,11709,8481,3306,2817,6510,8517,9450,9426,10281,11952,13053,8310,5943,2025,5790,9798,10230,10329,10206,10818,12120,8592,6024,2862,7566,8724,9672,10086,11295,10830,12504,8814,5613,3282,7521,8949,10305,11037,10689,11103,12534,8976,5703,3972,8244,9825,11349,11583,13116,12474,14553,9600,8007,4860,7767,9483,10860,12231,13512,14796,15435,14475,8625,105,4860,4662,1659,7785,8841,9297,9966,7017,2958
52,3303,8343,10503,9984,10566,8379,10170,9894,9795,7272,7290,14727,15669,15003,13821,12117,11409,11067,9711,7644,4278,12963,15048,14271,14178,12918,12399,11943,11562,8106,5280,12576,14907,12795,12822,12420,11892,11286,10185,7977,4425,12300,14565,14130,13674,12660,12717,11112,9441,9258,4350,12129,14217,12963,13194,12447,11760,11169,10068,8757,4119,11871,13560,14016,14292,13392,12525,10992,10374,9645,5868,12711,15138,14037,13815,13002,12420,11490,10485,9564,4752,12876,15324,14145,14490,13557,12873,11085,11022,7968,7299,9987,12324,11169,11535,10476,9897,8838,8313,7416
53,6183,8694,8478,8511,9882,10662,10962,11559,9357,6306,7629,10182,10515,11718,11637,12231,13470,12903,10545,4323,6468,10476,10827,11700,11811,12231,12648,13800,10992,5127,7719,10206,11937,13863,13146,14022,14499,14706,11805,5946,6999,10698,11115,12393,11934,12921,13182,13794,10908,5124,7344,10752,10917,12465,12822,14241,14799,14793,11412,6147,7422,11343,11727,12759,13011,14376,14190,14775,12177,5508,6849,11031,11973,12561,13656,13965,14892,15054,12399,5568,6591,10863,11211,11790,12921,13575,14841,15450,12852,8364,4794,8970,9480,9822,9567,9933,10653,10782,8364,3660
54,6969,8115,8895,8409,8964,9384,9666,7962,6699,8712,9537,11928,11832,10491,11613,11370,11037,11427,10524,10701,10194,13245,12474,11979,11559,11838,11319,12357,12702,10917,10005,12819,12492,12519,12726,12954,12819,11559,12606,11304,10194,13905,13761,13605,13383,13218,13236,11652,13269,12105,10311,15228,14568,14574,13650,13845,14688,14520,13830,12489,10560,15528,13482,13953,14697,14190,14709,14163,13968,12945,9486,16869,15927,14928,15594,15813,16011,15948,15357,13881,7038,15711,13662,12645,12996,13413,12663,12870,13200,10647,2511,7812,5949,5457,5103,6531,6420,5925,5808,8904
55,2112,5955,5853,6213,6594,6576,7605,7782,5496,5949,3753,5295,6504,7755,8613,8109,9000,9654,8187,5256,3801,7161,7611,8112,7767,8781,9696,10515,8553,6987,3105,8778,8160,8085,9324,10200,10971,11556,8691,6108,3063,7626,7263,8946,8868,9648,10299,11232,8823,6543,3600,7989,6105,8844,7422,9669,10371,10632,8262,4929,2487,7032,7599,8724,7491,8271,9393,11418,8463,5724,912,6915,4062,8124,9219,9888,10617,11799,8460,6282,3450,8211,4596,8358,10308,11247,12264,12930,11178,7377,1929,5055,3912,6762,6450,7539,7173,8172,5688,3207
56,8301,6384,6831,6465,5910,5859,5364,5691,6609,2604,10620,12642,13221,12480,11259,10344,11127,11322,13305,6435,13839,15825,15900,15606,14853,14292,14493,14946,16098,9840,12927,14673,14964,15000,14292,14157,13902,14442,15357,10713,13191,14955,14409,14814,14163,13668,14190,14826,15417,12126,12471,13545,14358,14586,13242,13206,13092,14604,14463,11343,11217,14400,14265,13599,13554,13293,13110,14787,14727,12525,11442,13050,13215,11610,12690,11148,12012,12858,12609,11793,9909,12159,12843,11838,11109,11424,11238,12540,12156,7218,4467,10383,10632,10281,9330,9549,9333,9660,8832,8688
57,1425,2475,4332,4323,4773,5379,5694,5031,7821,2010,3474,6387,7353,7725,7059,7023,7284,7293,11124,5337,6567,9999,10818,11466,11253,10794,12051,13089,13695,9429,6816,10479,10338,10995,10230,11211,11301,12633,14214,9606,5280,8031,9288,9417,8916,9606,10008,11025,12669,9141,6516,9753,8415,9348,8286,7890,9312,9531,9516,8430,5379,8157,8100,7224,7425,8160,8949,9600,10674,8844,5112,7314,6828,7374,5919,6060,5064,7734,6765,7707,6156,8040,3879,6588,6501,6552,7125,7122,6621,7287,1725,3567,2013,3573,1764,4605,2922,5232,3465,3489
58,0,2406,900,2112,1347,756,690,690,690,690,690,9486,8637,10041,9555,6936,6237,8949,8685,6684,5397,10005,10695,11034,10623,9417,9681,10347,9903,7158,5823,10719,9693,11607,8067,11064,10341,11202,10851,8451,5139,10341,11685,10332,9873,8874,9327,9540,9855,10161,7221,11235,12390,12255,11211,9846,9174,8955,8970,9411,5598,10803,11544,11922,11211,9816,10275,11697,10728,8991,6864,8964,10869,10308,9219,11889,9063,11190,9921,9384,7050,10578,13548,11031,10116,10950,8307,8295,7929,6354,690,1377,1377,1377,1377,1377,1377,1377,1377,1377
59,4515,12147,12387,12654,14142,14148,13962,14166,14187,12180,8070,14142,15975,14985,17688,17892,16752,18477,17016,9186,8319,16146,17331,17112,17592,19527,18882,19542,18912,9708,7110,16233,17340,17229,19110,19266,19494,19635,18462,9936,7971,14742,15687,15285,17655,17625,18045,18261,18702,6768,5232,13779,14349,14262,16026,16398,16062,17205,16659,8472,4215,12945,12024,12936,13713,14007,15027,16947,15900,8451,2235,12141,10809,12195,13374,12315,10311,14553,13836,8166,1728,10959,8556,11973,12456,10797,11142,14178,12405,6471,690,7329,6942,7389,7572,9201,6321,6789,7848,5133
60,3051,1620,2610,2952,2160,1962,1803,819,888,690,3552,4815,3765,4515,2355,3297,4395,3585,3762,2115,4422,6408,5076,5718,5721,5481,6009,5784,6096,3684,4665,4968,6387,5688,6039,5499,5424,5973,6162,4077,3543,3828,3702,4389,3453,4419,3816,4347,4434,3621,2907,3858,5340,4215,3816,3723,4797,5787,4608,4443,1527,2421,2397,2172,3066,2904,2160,2961,3585,2817,1827,1731,2070,1866,1929,2337,2298,1842,2601,3189,2049,3228,3153,2061,2775,2196,2457,2364,2307,2607,690,1377,1377,1377,1377,1377,1377,1377,1548,1377
61,13128,6465,6150,6492,8628,8931,7299,10356,6654,4146,15867,19155,17148,16932,18432,17385,16827,15645,17781,12375,16896,18915,19647,17808,19140,18324,16143,15672,17307,11202,16872,19632,20247,17709,19044,18237,16782,15531,16794,10695,15336,18234,19014,15483,15672,17154,16683,16275,16716,10305,15330,17646,19248,15966,16758,16995,16206,15636,15927,9237,15210,17304,18732,14187,15681,15597,14424,14409,15636,9207,13215,15516,16974,13749,15612,14583,13959,14031,14223,8688,13932,14847,16527,12999,15315,13515,13683,14778,14868,9546,8247,11355,7779,7644,8970,9423,7248,9702,8865,2820
62,0,3453,3762,5022,4845,6633,6531,7050,7038,5277,6537,11538,10590,11334,13038,13740,14682,14865,14250,13470,5241,9990,11436,12720,13755,14991,16434,15324,14805,13731,6927,12336,13578,13710,14808,15885,17139,16179,15189,13914,5889,11958,13227,14034,15885,16956,18927,18111,16998,14583,7065,13365,13434,14487,15816,17253,18477,16854,15753,13881,8841,15354,15738,17280,17268,18819,19506,18102,16761,15276,10152,14349,14604,16479,16833,18006,19659,18579,17448,14655,8721,16554,17199,18540,18813,18459,21729,20694,19950,16491,6618,7938,9705,10470,9720,14709,10449,10110,12678,13722
63,6924,10395,8448,6408,8370,6606,5499,5925,4491,690,9192,17193,14916,13674,13815,13524,12126,12636,13188,4737,9987,18084,17079,14850,15828,14232,13533,13407,13422,6612,10872,18426,17502,15840,16548,14847,14871,14424,14100,5994,12249,19206,17709,16917,16191,15873,14850,14928,14760,6747,11373,20319,18768,17595,17640,17562,15819,16038,15303,8280,17475,20703,18771,18423,17925,18405,16272,16374,15975,8397,12828,21570,20661,20118,19362,18537,16221,16554,15945,9138,17505,19236,17805,17886,17241,17301,15783,17007,15345,10410,15864,17511,16053,15858,15564,15426,14982,15537,14217,7701
64,0,1257,837,1953,2223,3132,2985,3213,2799,1893,2868,10107,10239,10530,10998,12522,13473,13764,12816,10935,4044,9528,8979,10845,12213,13095,15777,15219,15117,11262,5853,10320,10821,12081,13689,13632,15324,15468,13632,11499,4374,9867,10533,11598,12906,13746,15411,15828,15141,12039,4470,8925,10380,11151,12432,14271,16608,16197,15705,12423,5295,10383,11676,13371,13698,16347,17202,16338,15708,11841,8652,11622,12267,13488,14715,15435,16734,16578,15666,12111,8277,10869,10953,13542,14874,16038,17958,16920,15948,12291,690,4011,3372,8616,9246,7032,11076,10260,10293,11136
65,8337,6051,9636,9138,8478,9624,9081,6555,2547,4737,14307,16365,20436,20145,16020,20184,20058,17496,12843,11274,15252,16437,20769,19632,15414,19569,18804,17082,13677,10341,15732,15951,21702,20595,16491,20436,19188,17400,13923,9705,14220,15132,19305,16245,15795,17946,18027,15087,12543,9939,15651,16500,19188,18834,15897,17718,16767,15663,13833,10155,13431,15384,16491,18546,13824,17769,16905,15387,10767,8739,13188,13632,16749,16896,13293,16233,15405,13617,10998,8256,12576,11922,16245,16038,10569,15483,13608,13797,9783,4368,6258,10473,9573,5664,9165,8295,5166,4080,7689,1377
66,0,2139,1533,2451,3504,3963,3960,4872,5652,3678,690,2292,2274,3606,4152,4755,3966,5418,5982,2082,690,1377,1653,2604,4431,4347,5181,4686,5880,2928,690,1377,1659,3663,2901,3906,5181,4491,5616,2187,690,1479,1728,3792,3276,3507,5316,5211,5334,1758,690,1653,1686,2667,2808,3945,6084,5523,5298,2211,690,1434,1401,1377,2646,3633,4398,4707,4587,1377,714,1515,1377,2505,2925,2937,3861,4548,3930,1578,1311,2034,2718,4209,3921,5256,5337,4584,1980,1377,1518,4446,5253,6363,4896,4365,5004,6561,7839,1377
67,1959,5658,7173,7917,8646,9993,9615,8766,10458,6315,7854,13662,16050,16239,16521,16989,16275,17052,16959,15216,9033,11775,15033,15972,15789,16770,16437,17214,17178,15132,8175,14217,13989,15966,14724,16782,16281,17688,17364,14775,8442,15696,16932,17811,17754,19017,18831,19215,17961,16557,7467,15417,16761,17652,15873,18426,18651,18345,17748,16365,8574,15054,16737,17481,17196,18312,19035,18726,19647,17100,10530,16425,17943,18921,18030,19494,19104,18978,20487,17187,10635,16302,17511,18819,17799,18783,18792,20298,20160,16728,3804,5988,7461,7671,8208,14640,15180,13434,11727,16575
68,9423,6252,9141,5520,7341,8841,3504,5439,4374,2829,13362,17967,18711,17382,17025,15600,12618,11763,10617,5139,12720,16710,17487,17367,16599,16230,14436,12507,11169,8145,13587,16641,16881,16089,16281,14856,13926,12834,10800,6123,13236,16734,17103,16152,15516,14334,12525,11184,8748,5403,13491,16281,17193,16440,15660,13839,12429,11712,9045,4656,12891,15204,16317,15876,14571,14130,13422,11325,9591,3921,12168,14877,15339,15183,13719,12279,10908,11046,9960,4860,12012,13629,14766,13947,13557,12747,11349,10431,9909,5565,6450,5685,7539,6996,6984,6516,5934,2703,3633,1377
