,printer,bed_degree,print_degree,print_speed,dot_sum,sum,mean,var,std,fidelity
94,1,66,232,99,785310,661353,6613.53,8378154.449,2894.50418,0.865451412
95,1,65,220,141,1003587,879651,8796.51,8829182.89,2971.394099,0.821039898
96,1,69,221,127,998250,875106,8751.06,8416764.536,2901.166065,0.821964553
97,1,85,202,95,1029507,905550,9055.5,26899808.49,5186.50253,0.815770891
98,2,65,231,129,221904,98043,980.43,1772401.085,1331.315547,0.980053697
99,2,81,234,72,196392,72435,724.35,634067.3475,796.2834593,0.985263502
100,2,76,222,135,1077150,953193,9531.93,15165533.65,3894.295013,0.806078187
101,2,64,206,73,1551459,1428237,14282.37,24902586.23,4990.249115,0.709433129
102,2,66,229,68,253173,129216,1292.16,2389827.974,1545.906845,0.973711724
103,2,76,203,64,1393980,1270023,12700.23,16386297.86,4047.999241,0.741620887
104,2,83,235,87,552855,428898,4288.98,9066978.04,3011.142315,0.912743088
105,2,77,230,112,278526,154569,1545.69,3158577.154,1777.238632,0.968553797
106,2,83,215,127,955764,831807,8318.07,5805720.485,2409.506274,0.830773494
107,2,80,208,79,1055055,931098,9310.98,6971362.6,2640.333805,0.810573292
108,2,69,210,119,1115100,991143,9911.43,8578730.825,2928.947051,0.798357471
109,2,60,233,137,814101,690144,6901.44,8252569.706,2872.728617,0.859594043
110,1,76,204,131,1232991,1109034,11090.34,6797472.764,2607.196342,0.774373203
111,1,74,228,144,789030,665073,6650.73,4737745.277,2176.63623,0.864694598
112,1,57,212,124,1107963,984006,9840.06,7676301.596,2770.613939,0.799809454
113,1,57,216,72,948474,824517,8245.17,9589063.841,3096.621359,0.832256604
114,1,68,205,138,1208826,1084899,10848.99,5904820.81,2429.983706,0.779283334
115,1,84,233,78,630093,506136,5061.36,4754963.39,2180.587854,0.897029447
116,1,61,218,68,1251603,1127646,11276.46,29878980.01,5466.166848,0.770586695
117,1,84,236,59,182580,58623,586.23,683344.8171,826.6467305,0.988073477
118,0,81,224,70,191916,67959,679.59,693332.3619,832.6658165,0.98617412
119,0,62,208,100,1485531,1361718,13617.18,26382645.51,5136.403947,0.722966049
120,0,66,224,76,849873,725916,7259.16,16134871.15,4016.823515,0.852316429
121,2,81,238,142,162174,38217,382.17,314247.5811,560.5778992,0.992224964
122,0,65,240,60,171789,47901,479.01,498817.0899,706.2698421,0.990254808
123,2,66,240,52,165339,41382,413.82,634742.9676,796.7075797,0.991581062
124,2,60,211,95,1365048,1251492,12514.92,35694574.29,5974.493643,0.745390915
125,2,56,231,135,236517,113211,1132.11,3342771.838,1828.324872,0.976967852
126,2,74,208,51,1478172,1356753,13567.53,17910917.37,4232.129177,0.723976151
127,2,80,206,48,1422783,1306134,13061.34,26382894.94,5136.428228,0.734274305
128,2,85,227,118,939918,817860,8178.6,15865019.28,3983.091674,0.833610933
129,2,56,207,84,1430985,1308483,13084.83,25779808.42,5077.382044,0.733796414
130,2,60,229,80,771462,647586,6475.86,6032299.82,2456.074067,0.868252231
131,2,57,228,143,832629,708672,7086.72,9393220.642,3064.836152,0.855824624
132,2,77,232,96,663888,540759,5407.59,6063974.002,2462.513757,0.88998559
133,2,76,206,124,1094745,971481,9714.81,6527058.994,2554.810951,0.802357596
134,2,71,228,40,706677,582780,5827.8,4744854.18,2178.26862,0.881436651
135,2,81,213,150,1067874,944448,9444.48,7372508.71,2715.2364,0.807857309
136,0,85,206,145,1160799,1036842,10368.42,8837325.544,2972.763957,0.789060264
137,2,55,238,104,625860,501978,5019.78,6673191.592,2583.252135,0.897875369
138,0,55,220,90,943641,820335,8203.35,9847237.027,3138.030756,0.833107408
139,0,62,224,37,829278,705444,7054.44,6487467.566,2547.050759,0.856481343
140,0,66,237,77,703449,579492,5794.92,5514582.514,2348.314824,0.882105577
141,0,79,238,129,584415,460500,4605,5534218.08,2352.491887,0.906313837
142,1,60,213,108,981774,857955,8579.55,7990375.928,2826.725301,0.825453829
143,0,67,208,137,1091394,968124,9681.24,5876160.782,2424.079368,0.803040558
144,1,66,231,100,721242,597447,5974.47,5415347.429,2327.089906,0.878452732
145,0,64,239,121,585090,461157,4611.57,5932890.125,2435.752476,0.906180174
146,1,76,219,101,997761,873828,8738.28,15177474.56,3895.82784,0.822224555
147,1,72,204,31,841767,717810,7178.1,3779905.41,1944.197883,0.853965549
148,1,61,203,139,1495479,1371522,13715.22,23125344.41,4808.881825,0.72097148
149,1,69,240,146,382206,258249,2582.49,11601905.95,3406.157065,0.947460678
150,1,55,225,43,890220,766263,7662.63,21664462.91,4654.509954,0.844108056
151,1,62,208,107,1406835,1286460,12864.6,30543799.14,5526.644474,0.73827687
152,1,61,213,41,1434738,1310781,13107.81,21744530.07,4663.103052,0.733328898
153,1,59,217,106,1266666,1149474,11494.74,30836195.31,5553.034784,0.76614591
154,1,72,224,44,723267,599310,5993.1,3870263.61,1967.298556,0.878073715
155,1,73,230,99,744582,620625,6206.25,4662409.568,2159.261348,0.873737297
156,1,60,203,30,943548,819591,8195.91,5243016.322,2289.763377,0.833258771
157,1,62,225,69,675105,551148,5511.48,4705006.81,2169.102766,0.887872006
158,1,72,230,81,762492,638541,6385.41,4630808.062,2151.93124,0.870092386
159,1,83,205,31,865716,741768,7417.68,4117081.018,2029.059146,0.849091427
160,1,63,236,105,647256,523299,5232.99,5315793.31,2305.600423,0.89353773
161,1,73,215,115,864852,744423,7444.23,11205954.38,3347.529593,0.848551282
162,1,59,232,137,726273,604989,6049.89,6691510.198,2586.795353,0.876918354
163,1,80,234,125,667791,546507,5465.07,6572826.665,2563.752458,0.888816191
164,0,65,205,68,944229,822945,8229.45,4272814.148,2067.078651,0.832576418
165,0,60,222,91,1103700,982416,9824.16,23692971.61,4867.542667,0.800132931
166,2,75,233,64,204465,83181,831.81,765512.9739,874.9359827,0.983077288
167,2,63,224,67,911433,790149,7901.49,18131452.57,4258.10434,0.839248582
168,2,63,236,37,621075,499791,4997.91,14527683.98,3811.519904,0.898320302
169,2,65,224,133,1102710,981426,9814.26,18765180.57,4331.879566,0.800334341
170,1,84,209,59,1491786,1370502,13705.02,19014043.9,4360.509592,0.721178993
171,1,64,221,31,1106307,985023,9850.23,23223893.96,4819.11755,0.799602551
172,1,68,230,43,878793,757551,7575.51,19088443.45,4369.032324,0.845880464
173,1,76,213,71,1213041,1091850,10918.5,15505739.01,3937.732725,0.777869192
174,1,71,234,144,611127,489843,4898.43,3974306.165,1993.566193,0.900344167
175,0,59,200,88,1217808,1096524,10965.24,8918628.962,2986.407367,0.776918293
176,0,65,221,44,777792,656508,6565.08,4298951.974,2073.391418,0.8664371
177,2,62,217,44,844890,723606,7236.06,5735320.376,2394.852892,0.852786385
178,2,81,224,127,870147,748863,7488.63,5785572.653,2405.321736,0.847647989
179,2,61,212,78,1001325,880041,8800.41,6918276.502,2630.261679,0.820960555
180,0,56,230,47,896010,774726,7747.26,22987753.95,4794.554615,0.842386306
181,0,76,219,103,849822,728538,7285.38,5361450.916,2315.480709,0.851782997
182,0,67,207,33,1403436,1282152,12821.52,20863713.19,4567.68138,0.739153309
183,1,66,201,90,1234431,1113147,11131.47,6400668.149,2529.954179,0.773536436
184,1,81,209,81,1080864,959580,9595.8,6318675.54,2513.697583,0.804778788
185,1,62,227,52,873714,752430,7524.3,6857778.87,2618.736121,0.846922303
186,1,60,226,146,851022,729738,7297.38,6883157.776,2623.577286,0.851538864
187,1,63,236,74,659595,538311,5383.11,5718174.058,2391.270386,0.890483622
188,1,72,211,110,1087272,965988,9659.88,5895316.246,2428.027233,0.803475116
189,1,75,226,121,711279,589995,5899.95,6481347.368,2545.849046,0.8799688
190,1,62,212,97,912045,790761,7907.61,5815395.298,2411.513072,0.839124074
191,1,61,219,48,746112,624828,6248.28,5637454.042,2374.332336,0.87288222
192,1,69,229,82,245676,124392,1243.92,1614109.774,1270.4762,0.97469314
193,2,82,207,80,1168020,1046736,10467.36,15964155.95,3995.516982,0.787047384
194,2,79,227,86,1040994,919710,9197.1,21011841.81,4583.86756,0.812890117
195,2,79,219,83,252627,131343,1313.43,1661159.645,1288.859824,0.973278997
196,2,84,227,94,178728,57444,574.44,407550.5064,638.3968252,0.988313338
197,2,84,213,139,1290507,1172364,11723.64,19647870.35,4432.591832,0.761489067
198,2,69,231,51,1131522,1010289,10102.89,32289895.92,5682.4199,0.794462324
199,2,73,201,39,1718982,1597698,15976.98,13202010.58,3633.457111,0.674957231
